,title,series_id,episode_id,season,episode,rating,votes,original_air_date,year,plot,series_title,episode_title
0,Pilot,tt2950342,tt3080196,1,0,7.0,164,2013-08-26,2013,"
    Grandpa sets out to prove Mr Pickles is an evil murderer, while Tommy and Mr Pickles find themselves lost in the woods.    ",Mr. Pickles,Pilot
1,Tommy's Big Job,tt2950342,tt4057144,1,1,6.6,146,2014-09-21,2014,"
    Tommy falls for a young farmer girl, but she's not interested in a man without a job. Tommy sets out to find a job.    ",Mr. Pickles,Tommy's Big Job
2,Father's Day Pie,tt2950342,tt4073776,1,2,7.4,120,2014-09-28,2014,"
    When Mr. Goodman's Father's Day pie goes missing, Tommy and Mr. Pickles set out searching for the pie thief, but meet an unexpected creature in the forest.    ",Mr. Pickles,Father's Day Pie
3,Foul Ball,tt2950342,tt4086010,1,3,6.9,105,2014-10-05,2014,"
    The Goodman's go to a baseball game, and Tommy hopes to catch a highly sought after, record breaking foul ball.    ",Mr. Pickles,Foul Ball
4,The Cheeseman,tt2950342,tt4073796,1,4,7.7,119,2014-10-12,2014,"
    The Goodmans go on a family camping trip and Tommy learns the frightening legend of The Cheeseman.    ",Mr. Pickles,The Cheeseman
5,Dead Man's Curve,tt2950342,tt4109292,1,5,7.1,93,2014-10-19,2014,"
    Tommy enters the soapbox derby and Grandpa finds Mr. Pickles' biggest fear.    ",Mr. Pickles,Dead Man's Curve
6,Loose Tooth,tt2950342,tt4109296,1,6,7.3,95,2014-10-26,2014,"
    Tommy sets out with Mr. Pickles to lose his tooth so he can meet the Tooth Fairy. Meanwhile, Sheriff searches for a group of wanted pedophiles.    ",Mr. Pickles,Loose Tooth
7,Grandpa's Night Out,tt2950342,tt4109302,1,7,7.0,76,2014-11-02,2014,"
    Grandpa wakes up hungover and soon finds out that he made a horrible mistake the night before.    ",Mr. Pickles,Grandpa's Night Out
8,Coma,tt2950342,tt4109304,1,8,7.0,73,2014-11-09,2014,"
    Mr. Goodman wonders how easy his life would be if he were a dog, and when he gets knocked unconscious, he soon finds out.    ",Mr. Pickles,Coma
9,Where Is Mr. Pickles?,tt2950342,tt4205118,1,9,7.2,83,2014-11-16,2014,"
    Mr. Pickles gets dog-napped as a gang of bounty hunters race to collect the bounty on his head.    ",Mr. Pickles,Where Is Mr. Pickles?
10,The Lair,tt2950342,tt4427974,1,10,7.8,88,2014-11-23,2014,"
    Grandpa goes on a quest to discover what really is happening inside Mr. Pickles' doghouse, and to prove once and for all that he is not crazy.    ",Mr. Pickles,The Lair
11,Mental Asylum,tt2950342,tt5658298,2,1,7.8,70,2016-04-17,2016,"
    Mr. Pickles poses as the town's mayor and tries to bust Grandpa out of the asylum.    ",Mr. Pickles,Mental Asylum
12,Cops and Robbers,tt2950342,tt5662340,2,2,7.5,64,2016-04-24,2016,"
    Tommy gets caught in a big crime when he mistakes a little person for a child his own age.    ",Mr. Pickles,Cops and Robbers
13,Serial Killers,tt2950342,tt5695410,2,3,8.0,69,2016-05-01,2016,"
    When a prison bus of serial killers breaks loose in Old Town, Sheriff recruits Mr. Pickles as a K-9 cop-dog to help track them down.    ",Mr. Pickles,Serial Killers
14,Shövenpucker,tt2950342,tt5714046,2,4,7.9,70,2016-05-08,2016,"
    With a metal thief loose in Old Town, Tommy and Mr. Pickles seek the help of an old superhero with a strange addiction.    ",Mr. Pickles,Shövenpucker
15,Fish?,tt2950342,tt5737914,2,5,7.9,57,2016-05-15,2016,"
    When a suspicious woman in town takes a romantic interest in Sheriff, Mr. Bojenkins sets out to reveal her true intentions.    ",Mr. Pickles,Fish?
16,A.D.D.,tt2950342,tt5751826,2,6,7.3,63,2016-05-22,2016,"
    This special episode of Mr. Pickles takes place in outer space with a dolphin and an evil shrimp.    ",Mr. Pickles,A.D.D.
17,My Dear Boy,tt2950342,tt5765698,2,7,7.7,56,2016-05-29,2016,"
    Tommy finds a half-deer half-boy animal, and has trouble trying to get him under control.    ",Mr. Pickles,My Dear Boy
18,Vegans,tt2950342,tt5784476,2,8,7.9,74,2016-06-05,2016,"
    Beverly is invited to join a group of vegans at the Vegan Headquarters without the intentions of how to be a true vegan.    ",Mr. Pickles,Vegans
