,title,series_id,episode_id,season,episode,rating,votes,original_air_date,year,plot,series_title,episode_title
0,The Log Salesmen,tt0101178,tt4533006,-1,-1,,,,,"
  Know what this is about?
 Be the first one to add a plot.
    ",The Ren & Stimpy Show,The Log Salesmen
1,Stimpy's Big Day/The Big Shot,tt0101178,tt0786215,1,1,8.3,142.0,1991-08-11,1991,"
    Stimpy wins a competition that takes him to the Big-time in Hollywood. Ren, left at home, begins to miss Stimpy more than he ever would of thought. Will Stimpy, rich and successful, remember Ren and return home?    ",The Ren & Stimpy Show,Stimpy's Big Day/The Big Shot
2,Robin Hoek/Nurse Stimpy,tt0101178,tt0840176,1,2,8.2,121.0,1991-08-18,1991,"
    Ren Hoëk becomes ""Robin Hoëk"" in this parody of the Robin Hood legend. Stimpy, however, runs from scene to scene as he takes on the role of every other character. Next, stricken with an illness, Ren is brought back to health through Stimpy's unusual nursing practices. In some cases, the cure can be worse than the illness!    ",The Ren & Stimpy Show,Robin Hoek/Nurse Stimpy
3,Space Madness/The Boy Who Cried Rat!,tt0101178,tt0947465,1,3,8.9,146.0,1991-08-25,1991,"
    On their journey through space, Ren and Stimpy find that the true danger is ""Space Madness"", a cabin-crazy condition that Ren succumbs to. Next, in a sick tribute to classic animation, the two cook up a ploy to act as a rodent removal service. Ren becomes the mouse, and Stimpy as the cat. They take their services to suburbia with mixed results.    ",The Ren & Stimpy Show,Space Madness/The Boy Who Cried Rat!
4,Fire Dogs/Stimpy's Storybook Land: The Littlest Giant,tt0101178,tt0947463,1,4,8.0,106.0,1991-09-15,1991,"
    On the brink of starvation, and disguised as Dalmatians, the pair find employment at a fire station. Can these two handle an inferno at a towering skyscraper, with all of its exotic residents in need of rescue? Next, Stimpy, a little giant, and the brunt of the big giants' jokes, leaves home to find a happier life. What partnership will unfold when he meets Ren, a simple dairy farmer?    ",The Ren & Stimpy Show,Fire Dogs/Stimpy's Storybook Land: The Littlest Giant
5,Marooned/Untamed World,tt0101178,tt0947464,1,5,8.1,109.0,1991-12-15,1991,"
    After a crash-landing on a strange planet, Commander Hoek and Cadet Stimpy go about cataloging and reporting on the strange planets inhabitants. But, before long, and quite unexpectedly, an inhabitant takes a very close look at them. Next, in kitsch documentary style, Ren narrates over some footage of curious flora and fauna. Finally, we are treated to a rare spotting of the Crocostimpy.    ",The Ren & Stimpy Show,Marooned/Untamed World
6,Black Hole/Stimpy's Invention,tt0101178,tt0947462,1,6,9.0,167.0,1991-12-29,1991,"
    Commander Hoek and Cadet Stimpy are sucked into the hideous vortex of a black hole. Now as inhabitants on a new planet, and constantly mutating, the pair solve an age-old mystery after being tipped-off by a familiar smell. Next, Stimpy in his naive optimism, invents an emotion-controlling helmet. Ren, whether he likes it or not, is now the involuntary test-subject.    ",The Ren & Stimpy Show,Black Hole/Stimpy's Invention
7,In the Army/Powdered Toastman,tt0101178,tt0854003,2,1,8.5,97.0,1992-08-15,1992,"
    Ren and Stimpy join the Army, where they begin basic training under a very demanding Drill Sargent. We then follow the unusual and bizarre adventures of ""Powdered Toast Man"" as he is called on for various rescue missions.    ",The Ren & Stimpy Show,In the Army/Powdered Toastman
8,Ren's Toothache/Big House Blues,tt0101178,tt0953956,2,2,8.3,102.0,1992-08-22,1992,"
    Ren learns the benefits of dental hygiene the hard way, as he refuses to listen to Stimpy's advice on brushing your teeth. Then Ren and Stimpy are tossed in the pound, where they discover the true meaning of ""going to sleep"".    ",The Ren & Stimpy Show,Ren's Toothache/Big House Blues
9,Out West/Rubber Nipple Salesmen,tt0101178,tt0953955,2,3,8.2,92.0,1992-10-10,1992,"
    Ren and Stimpy find themselves amid the Wild West, where they run up against a Sheriff and Deputy who's favourite past-time is hanging people. They then hit the road as salesmen, going door-to-door to sell Rubber Nipples.    ",The Ren & Stimpy Show,Out West/Rubber Nipple Salesmen
10,Sven Hoek,tt0101178,tt0763768,2,4,8.8,106.0,1992-11-07,1992,"
    Ren is excited when his cousin, Svën, is coming over for a visit, until he finds out that Svën is an idiot just like Stimpy.    ",The Ren & Stimpy Show,Sven Hoek
11,Mad Dog Höek/Haunted House,tt0101178,tt0962466,2,5,7.8,88.0,1992-11-21,1992,"
    Convinced that wrestling is all an act, Mad Dog Höek (Ren) and Killer Kodoogan (Stimpy) are thrown into the wrestling ring for a bout against the enormous Lout Brothers, Lump and Loaf. Next, we see the Ren and Stimpy spend ""the next twelve minutes"" inside a mansion haunted by a shy, depressed and thoroughly non-scary Casper-like ghost.    ",The Ren & Stimpy Show,Mad Dog Höek/Haunted House
12,Big Baby Scam/Dog Show,tt0101178,tt1066096,2,6,8.1,78.0,1992-12-12,1992,"
    Ren & Stimpy, starving, exploit the benefits of living as babies. Then, George Liquor American takes us the Dog Show, where Ren & Stimpy are pitted against some tough competition. But only George can handle the judge's harsh scrutiny.    ",The Ren & Stimpy Show,Big Baby Scam/Dog Show
13,Son of Stimpy,tt0101178,tt1011884,2,7,7.9,85.0,1992-12-19,1992,"
    One of Stimpy's bodily functions literally has a life of it's own in this episode. His flatulence becomes like the son he never had. Ghostlike and helpless, it wanders the streets looking for a home but finds the world harsh and careless. Grieving at his loss, and ceaselessly searching for his long lost ""Stinky"", Stimpy becomes a preoccupied and worried mess. Will the two meet again in a heart-warming reunion?    ",The Ren & Stimpy Show,Son of Stimpy
14,"Monkey See, Monkey Don't/Fake Dad",tt0101178,tt0775318,2,8,8.1,76.0,1993-02-27,1993,"
    In another scheme to feed and shelter themselves for free, the pair approach a zoo keeper disguised as monkeys. Will they take on the habits of the crude, resident chimp, or is the simian lifestyle too grotesque even for Ren and Stimpy? Next, Ren acts adopts a huge, violent inmate as a son for the weekend. Can Stimpy keep Ren's short-tempered parenting style under control, or will the lumbering, childish step son (Kowalski) find a place in Ren's heart?    ",The Ren & Stimpy Show,"Monkey See, Monkey Don't/Fake Dad"
15,The Great Outdoors/The Cat That Laid the Golden Hairball,tt0101178,tt1091090,2,9,8.1,72.0,1993-03-27,1993,"
    Camping at a lakeside wood, Ren and Stimpy go about making a pleasant camping trip. Faced with dehydrated food, mosquito squadrons and eccentric skinny dippers, the great outdoors shows that it has it's share of challenges for the pair. Next, Ren exploits Stimpy's hairball habit upon hearing the price of this rare commodity soar. A production line (featuring Kowalksi as a laborer) is where Ren extracts the over-priced and disgusting fur from his swiftly balding friend Stimpy.    ",The Ren & Stimpy Show,The Great Outdoors/The Cat That Laid the Golden Hairball
