,title,series_id,episode_id,season,episode,rating,votes,original_air_date,year,plot,series_title,episode_title
0,Pilot,tt0118375,tt0620288,1,1,8.2,397,1997-01-12,1997,"
    A social worker mistakenly believes that Hank is abusing Bobby. When Bobby finds out what is happening, he takes advantage of the situation.    ",King of the Hill,Pilot
1,Square Peg,tt0118375,tt0620301,1,2,7.8,322,1997-01-19,1997,"
    Peggy is chosen to be the Sex Education teacher at Bobby's school.    ",King of the Hill,Square Peg
2,The Order of the Straight Arrow,tt0118375,tt0620317,1,3,7.4,301,1997-02-02,1997,"
    When Bobby becomes a member of the Straight Arrows, Hank, Dale, Bill, & Boomhauer volunteer to take them on a camping trip. While there Bobby accidentally kill a whooping crane.    ",King of the Hill,The Order of the Straight Arrow
3,Hank's Got the Willies,tt0118375,tt0620234,1,4,7.6,283,1997-02-09,1997,"
    Bobby accidentally hits Hank's hero, Willie Nelson, with a golf ball.    ",King of the Hill,Hank's Got the Willies
4,Luanne's Saga,tt0118375,tt0620263,1,5,7.7,265,1997-02-16,1997,"
    After Buckley dumps Luanne Hank takes it upon himself to find her a new boyfriend, but for his own personal gain.    ",King of the Hill,Luanne's Saga
5,Hank's Unmentionable Problem,tt0118375,tt0620235,1,6,7.8,265,1997-02-23,1997,"
    Hank is very embarrassed and introvert about his constipation. And it certainly doesn't help his condition with Peggy telling all her friends, making Hank go to a proctologist and treating him like a child over it.    ",King of the Hill,Hank's Unmentionable Problem
6,Westie Side Story,tt0118375,tt0763266,1,7,8.0,252,1997-03-02,1997,"
    Hank and the rest of the gang on Rainey St. gets a culture shock when their new Laotian neighbors move in next door.    ",King of the Hill,Westie Side Story
7,Shins of the Father,tt0118375,tt0764032,1,8,7.7,253,1997-03-23,1997,"
    Hank's rambunctious, bigoted, sexist, loud war-vet father, Cotton, visits the Hills for Bobby's birthday. Instantly Cotton teaches the boy bad habits about how to treat women. Hank refuses to admit his father is doing wrong, until Cotton takes Bobby to the sleazy Hotel Arlen to go hooker shopping!    ",King of the Hill,Shins of the Father
8,Peggy the Boggle Champ,tt0118375,tt0620282,1,9,7.8,256,1997-04-13,1997,"
    Peggy and Hank head to Dallas so Peggy can compete in a boggle tournament, but Hank decides to forego the tournament in order to attend a lawnmower expo.    ",King of the Hill,Peggy the Boggle Champ
9,Keeping Up with Our Joneses,tt0118375,tt0620254,1,10,8.2,290,1997-04-27,1997,"
    When Bobby is caught trying a cigarette, Hank decides the proper discipline is making Bobby smoke an entire carton. The result sparks an old smoking habit of Hank's and Peggy's, as well as a new habit in Bobby.    ",King of the Hill,Keeping Up with Our Joneses
10,King of the Ant Hill,tt0118375,tt0620256,1,11,7.9,230,1997-05-04,1997,"
    After Hank fires him as his exterminator, Dale infests Hanks lawn with ants in order to seek revenge.    ",King of the Hill,King of the Ant Hill
11,Plastic White Female,tt0118375,tt0620289,1,12,8.1,250,1997-05-11,1997,"
    Joeseph is throwing a co-ed party and informs Bobby there is going to be kissing. Never haven kissed a girl, Bobby practices on a plastic head Luanne was given for beauty school.    ",King of the Hill,Plastic White Female
12,How to Fire a Rifle Without Really Trying,tt0118375,tt0620242,2,1,7.7,227,1997-09-21,1997,"
    When Bobby discovers the one sport he is good at, marksmanship, he and Hank decide to enter a father & son tournament. As it turns out Hank is a terrible marksman.    ",King of the Hill,How to Fire a Rifle Without Really Trying
13,Texas City Twister,tt0118375,tt0620305,2,2,8.2,222,1997-09-28,1997,"
    Luanne moves back into her home, a trailer, just as a twister is about to hit.    ",King of the Hill,Texas City Twister
14,Arrow Head,tt0118375,tt0620200,2,3,7.6,214,1997-10-19,1997,"
    After Hank finds an arrow head in his lawn, Peggy gives a archaeologist permission to have an archaeological dig their yard.    ",King of the Hill,Arrow Head
15,Hilloween,tt0118375,tt0620239,2,4,8.2,244,1997-10-26,1997,"
    Hank is excited about Halloween until a woman complains has the holiday canceled.    ",King of the Hill,Hilloween
16,Jumpin' Crack Bass,tt0118375,tt0620252,2,5,8.2,235,1997-11-02,1997,"
    While on a fishing trip, for the first time ever the guys catch more fish than Hank. In order to regain his title Hank seeks advice from a friend to whom tells him visit his friend who sells bait on the side of the road. Hank unwittingly goes to a different person to whom happens to be a cocaine pusher. As it turns out the fish are very taken to the cocaine, so continues to buy the narcotics all the while not realizing he's buying drugs and not bait. After he and Dale are caught in the middle of a ""transaction"", the police show up arrest the two of them. So now in ...    ",King of the Hill,Jumpin' Crack Bass
17,Husky Bobby,tt0118375,tt0620243,2,6,7.7,225,1997-11-09,1997,"
    Much to Hank's dismay, Bobby becomes a plus sized model.    ",King of the Hill,Husky Bobby
18,The Man Who Shot Cane Skretteburg,tt0118375,tt0620316,2,7,7.7,218,1997-11-16,1997,"
    Hank and the guys seek vengeance after a group of teenagers beat them at paint-ball.    ",King of the Hill,The Man Who Shot Cane Skretteburg
19,The Son That Got Away,tt0118375,tt0620322,2,8,7.6,200,1997-11-23,1997,"
    Bobby and Connie get in trouble at school. They skirt their ensuing punishment and are joined by Joseph, as they head to ""The Caves"". Hank and Kahn quickly pursue them, knowing that the caves are Arlen's make-out point.    ",King of the Hill,The Son That Got Away
20,The Company Man,tt0118375,tt0620309,2,9,7.5,194,1997-12-07,1997,"
    Hank goes out of his way to impress a potential out-of-town client, Mr. Holloway, to whom wants Hank to take him on an authentic tour of Texas. Unfortunately, Mr. Holloway doesn't know Texas beyond old cowboy films. Thus Hank is out of his comfort zone and make up various lies and excuses as to why he does not fit Mr. Holloway's stereotypical impression of an authentic Texan. And just when Hank is in the process of possibly finally closing the deal M.F. Thatherton swoops in and begins to impress Mr. Holloway with is ten gallon hat, boots, and his belt buckle.    ",King of the Hill,The Company Man
21,Bobby Slam,tt0118375,tt0764015,2,10,7.8,198,1997-12-14,1997,"
    Bobby joins the wrestling team and is caught in a dilemma when he has to fight Connie in order to make the team.    ",King of the Hill,Bobby Slam
22,The Unbearable Blindness of Laying,tt0118375,tt0620325,2,11,8.0,210,1997-12-21,1997,"
    Hank's mother bring home her new boyfriend, an affectionate Jewish man named Gary. After Hank sees the two of them having relations, he goes blind.    ",King of the Hill,The Unbearable Blindness of Laying
23,Meet the Manger Babies,tt0118375,tt0620266,2,12,7.5,217,1998-01-11,1998,"
    With puppets she bought at a garage sale, Luanne creates a Christian puppet show called The Manger Babies. At her first public performance Luanne breaks down and Hank comes to the rescue. So Luannes thanks him by giving him a role in her next show. Unfortunately her show happens to be the same day as the Super Bowl. So Hank must choose between the two.    ",King of the Hill,Meet the Manger Babies
24,Snow Job,tt0118375,tt0620299,2,13,7.4,187,1998-02-01,1998,"
    Hank calls into question his loyalty to Propane and the direction of his life after he finds out Buck Strickland owns an electric range.    ",King of the Hill,Snow Job
25,I Remember Mono,tt0118375,tt0620246,2,14,7.5,191,1998-02-08,1998,"
    While working part-time at she and Hank's old high school, Peggy learns that Hank had mono (the kissing disease). But Peggy has never had mono so that could mean Hank got it from another woman. After Peggy stops speaking to him Hank jumps through hoops to impress her.    ",King of the Hill,I Remember Mono
26,Three Days of the Kahndo,tt0118375,tt0620328,2,15,8.0,196,1998-02-15,1998,"
    Hank, Dale and Kahn are stuck in Mexico after Kahn cheats a condo owner out of money. As a result, the Arlenians have to sneak across the Rio Grande back into Texas.    ",King of the Hill,Three Days of the Kahndo
27,Traffic Jam,tt0118375,tt0620331,2,16,7.5,218,1998-02-22,1998,"
    Hank, accompanied by Bobby, has to attend defensive driving classes taught by comedic instructor Boudda Sac (Chris Rock). Bobby, inspired by Sac's racially charged humor, decides to do his own ""White Pride"" routine.    ",King of the Hill,Traffic Jam
28,Hank's Dirty Laundry,tt0118375,tt0620233,2,17,8.2,213,1998-03-01,1998,"
    Hank fights to clear his good name after mistakenly being charged for not returning a dirty movie to the local video store.    ",King of the Hill,Hank's Dirty Laundry
