,title,series_id,episode_id,season,episode,rating,votes,original_air_date,year,plot,series_title,episode_title
0,A Space Ghost Christmas,tt0108937,tt0706027,-1,-1,7.1,17.0,1994-12-25,1994,"
    The crew sings Christmas carols in a series of interstitials.    ",Space Ghost Coast to Coast (TV Series 1993–2008),A Space Ghost Christmas
1,Spanish Translation,tt0108937,tt0706093,1,1,7.2,40.0,1994-04-15,1994,"
    Space Ghost interviews Susan Powter, Kevin Meaney, and The Bee Gees. The action periodically stops so certain lines can be translated to Spanish.    ",Space Ghost Coast to Coast (TV Series 1993–2008),Spanish Translation
2,Gilligan,tt0108937,tt0706058,1,2,7.4,37.0,1994-04-22,1994,"
    Space Ghost interviews three castaways from Gilligan's Island: Bob Denver (Gilligan), Dawn Wells (Mary Ann) and Russell Johnson (The Professor).    ",Space Ghost Coast to Coast (TV Series 1993–2008),Gilligan
3,Elevator,tt0108937,tt0706051,1,3,6.7,33.0,1994-05-06,1994,"
    Space Ghost interviews a very young Ashley Judd, Tim Leary and Judy Tenata..    ",Space Ghost Coast to Coast (TV Series 1993–2008),Elevator
4,CHiPs,tt0108937,tt0706039,1,4,7.2,26.0,1994-05-13,1994,"
    Space Ghost interviews various talk show-centric guests, but Moltar is more interested in watching old ""CHiPs"" episodes.    ",Space Ghost Coast to Coast (TV Series 1993–2008),CHiPs
5,Bobcat,tt0108937,tt0706034,1,5,7.5,33.0,1994-05-27,1994,"
    Space Ghost interviews Bobcat Goldthwaite and The Ramones.    ",Space Ghost Coast to Coast (TV Series 1993–2008),Bobcat
6,Banjo,tt0108937,tt0706031,1,6,8.7,49.0,1994-09-10,1994,"
    Space Ghost gets sea monkeys as pets. Meanwhile, Zorak tries mind-control spells on both Space Ghost and guests Schooly D and ""Weird Al"" Yankovic. One of Space Ghost's sea monkeys, whom Space Ghost named Banjo, grows gigantic and wrecks havoc on the set. Space Ghost reluctantly kills Banjo before it can do any more damage.    ",Space Ghost Coast to Coast (TV Series 1993–2008),Banjo
7,Punch,tt0108937,tt0706085,1,7,6.6,23.0,1994-09-16,1994,"
    Space Ghost interviews Dian Parkinson, the Jerky Boys, and Cindy Guyer.    ",Space Ghost Coast to Coast (TV Series 1993–2008),Punch
8,Batmantis,tt0108937,tt0706032,1,8,8.7,44.0,1994-09-30,1994,"
    Moltar has been kidnapped by Your Mother and holds him ransom for Space Ghost's power bands. Space Ghost and Zorak (in his alter-ego form of Batmantis) try to rescue him. However, it's revealed to be just a dream.    ",Space Ghost Coast to Coast (TV Series 1993–2008),Batmantis
9,Self Help,tt0108937,tt0706088,1,9,7.4,23.0,1994-10-07,1994,"
    Space Ghost interviews Anka Radakovich, Rich Hall, and Dr. Joyce Brothers.    ",Space Ghost Coast to Coast (TV Series 1993–2008),Self Help
