,title,series_id,episode_id,season,episode,rating,votes,original_air_date,year,plot,series_title,episode_title
0,Yankovic vs. Wayans,tt0208614,tt0975083,-1,-1,,,,,"
  Know what this is about?
 Be the first one to add a plot.
    ",Celebrity Deathmatch,Yankovic vs. Wayans
1,Deathbowl '98,tt0208614,tt0763132,1,0,7.6,39.0,1998-01-25,1998,"
    Kathie Lee Gifford squares off against rival Howard Stern; Pamela Anderson Lee seeks revenge against Rupaul; The Spice Girls take on Hanson for the title of Most Annoying Band in the World.    ",Celebrity Deathmatch,Deathbowl '98
2,Seinfeld's Last Stand,tt0208614,tt4710782,1,1,6.5,15.0,1998-05-14,1998,"
    Hillary Clinton delivers capital punishment on Monica Lewinsky; funny man Jim Carrey takes on pop star Mariah Carey; Tim Allen gets even with Jerry Seinfeld.    ",Celebrity Deathmatch,Seinfeld's Last Stand
3,Where Is Stallone?,tt0208614,tt4613196,1,2,7.9,18.0,1998-05-21,1998,"
    Daytime TV queens Oprah Winfrey and Rosie O'Donnell face off; Oasis founders Liam and Noel Gallagher's sibling rivalry escalates; Hollywood's toughest action heroes, Schwarzenegger and Stallone, duke it out.    ",Celebrity Deathmatch,Where Is Stallone?
4,The Mystery of the Loch Ness Monster,tt0208614,tt4657412,1,3,7.3,12.0,1998-05-28,1998,"
    The Loch Ness Monster and Bigfoot engage in a legendary duel; rock stars Mick Jagger and Steven Tyler settle their differences; late-night TV rivals Jay Leno and David Letterman square off in an electrifying showdown.    ",Celebrity Deathmatch,The Mystery of the Loch Ness Monster
5,Celebrity Deathmatch Goes to the Movies,tt0208614,tt0537960,1,4,6.9,22.0,1998-06-11,1998,"
    Gene Siskel and Roger Ebert engage in an Indian strap match; archive footage shows Dean Martin and Jerry Lewis settling an old score; Woody Allen referees a grudge match between Quentin Tarantino and Spike Lee.    ",Celebrity Deathmatch,Celebrity Deathmatch Goes to the Movies
6,Nick in a Coma,tt0208614,tt4715750,1,5,6.3,10.0,1998-07-23,1998,"
    Cindy Crawford and Janeane Garofalo throw their weight around; Elvis Presley and Jerry Garcia meet in a fatal fantasy; Jerry Springer challenges Oprah Winfrey and Rosie O'Donnell to a fatal three-way cage match.    ",Celebrity Deathmatch,Nick in a Coma
7,Nick Returns,tt0208614,tt4792738,1,6,7.0,8.0,1998-07-30,1998,"
    Fiona Apple tries to take out John Popper; thespians Christopher Walken and Gary Oldman turn psycho on each other; Marilyn Manson returns after being challenged by a vengeful Garth Brooks.    ",Celebrity Deathmatch,Nick Returns
8,Presented by Big Bull Beer,tt0208614,tt0962229,1,7,6.7,19.0,1998-08-06,1998,"
    Barbra Streisand and Aretha Franklin go medieval on each other to be the World's Deadliest Diva; Bill Gates and Michael Flatley settle an unknown score; Jack Nicholson and Leonardo DiCaprio take their grudge into the ring.    ",Celebrity Deathmatch,Presented by Big Bull Beer
9,The Missing Girl,tt0208614,tt4800884,1,8,6.5,8.0,1998-08-13,1998,"
    Puff Daddy takes on Trent Reznor of Nine Inch Nails; David Hasselhoff challenges John Tesh to a beach brawl; divorced Bruce Willis and Demi Moore pair up to take on 'golden couple' Tom Cruise and Nicole Kidman.    ",Celebrity Deathmatch,The Missing Girl
10,Fandemonium '98,tt0208614,tt0537957,1,9,7.0,24.0,1998-08-20,1998,"
    By fan request: Stone Cold Steve Austin takes on his boss, Vince McMahon; Adam Sandler and Chris Rock are thrown together in the ring; Howard Stern referees a mud-fight mêlée between Carmen Electra and Jenny McCarthy.    ",Celebrity Deathmatch,Fandemonium '98
11,Battle of the Bulls,tt0208614,tt0537947,1,10,6.8,19.0,1998-08-27,1998,"
    Steven Seagal teaches David Spade a lesson in respect; Prince Charles delivers a royal beating to The Artist (formally known as Prince); Michael Jordan throws down against team-mate Dennis Rodman.    ",Celebrity Deathmatch,Battle of the Bulls
12,37th Annual Sci-Fi Fight Night,tt0208614,tt4793054,1,11,6.2,8.0,1998-10-01,1998,"
    Céline Dion sings the National Anthem in an out-of-this-world performance; a Q&A with Mark Hamill and Peter Mayhew quickly goes awry; Will Smith and Tommy Lee Jones try to eliminate Gillian Anderson and David Duchovny.    ",Celebrity Deathmatch,37th Annual Sci-Fi Fight Night
13,Masters of the Martial Arts,tt0208614,tt4814510,1,12,6.5,8.0,1998-10-22,1998,"
    TV's Roseanne tries to dominate Kelsey Grammer; Courtney Love attempts to beat the nice out of Brandy; Jackie Chan tests his might against Jean-Claude Van Damme, with special guest referee Chuck Norris.    ",Celebrity Deathmatch,Masters of the Martial Arts
14,Deathbowl '99,tt0208614,tt0537946,2,1,5.2,20.0,1999-01-31,1999,"
    In the season 2 premiere, Dolly Parton and Jennifer Lopez size each other up; Michael Jackson tries to take over Madonna's half-time show; Evander Holyfield and Mike Tyson fight for the World Heavyweight Champion belt.    ",Celebrity Deathmatch,Deathbowl '99
15,The Battle of the Boys with Toys,tt0208614,tt4831724,2,2,6.1,8.0,,1999,"
    Ice-Cube and Ice-T try to kill each other in cold blood; Al Pacino and Robert De Niro unleash their killer alter egos, with referee Marlon Brando; The Backstreet Boys face off against the Beastie Boys in a robot war of epic proportion.    ",Celebrity Deathmatch,The Battle of the Boys with Toys
16,"Magic, Flashbacks and Pregnancies",tt0208614,tt4841512,2,3,6.1,8.0,,1999,"
    Calista Flockhart and Lucy Lawless compete for Woman of the Year; Unearthed footage reveals a fight between Don Johnson and Culture Club's Boy George; Penn and Teller engage in a spellbinding fight against Siegfried and Roy.    ",Celebrity Deathmatch,"Magic, Flashbacks and Pregnancies"
