,title,series_id,episode_id,season,episode,rating,votes,original_air_date,year,plot,series_title,episode_title
0,Bunny Love,tt1031283,tt1306825,1,0,7.3,75,2007-05-13,2007,"
    The Warden requests the inmates wear bunny costumes as uniforms, but the Twins order some wolf costumes as well and make all Hell breaks lose when they start acting like the animals they are dressed as.    ",Superjail! (TV Series 2007–2014),Bunny Love
1,Superbar,tt1031283,tt1306828,1,1,7.8,75,2008-09-28,2008,"
    The Warden, opens as bar at SuperJail, in order to get a date with Alice. A group of prisoners plot an underwater escape!    ",Superjail! (TV Series 2007–2014),Superbar
2,Combaticus,tt1031283,tt1306826,1,2,8.3,60,2008-10-05,2008,"
    After the Warden finds an ancient coliseum underneath Superjail, he organizes a gladiatorial match for the inmates. The Twins create a fighter to fight the inmates.    ",Superjail! (TV Series 2007–2014),Combaticus
3,Ladies Night,tt1031283,tt1306827,1,3,8.0,60,2008-10-12,2008,"
    The Warden makes a bet with his counterpart from a women's prison    ",Superjail! (TV Series 2007–2014),Ladies Night
4,Cold-Blooded,tt1031283,tt1310487,1,4,8.2,56,2008-10-19,2008,"
    The prison gets a new inmate, an Ed Gein-like serial killer, whose accidental death is credited to Jared, who is posing as a prisoner.    ",Superjail! (TV Series 2007–2014),Cold-Blooded
5,Don't Be a Negaton,tt1031283,tt1311585,1,5,7.9,59,2008-10-26,2008,"
    A well-known motivational speaker/cult leader comes to Superjail.    ",Superjail! (TV Series 2007–2014),Don't Be a Negaton
6,Terrorarium,tt1031283,tt1317968,1,6,8.4,54,2008-11-02,2008,"
    The Warden holds a science fair, but declares himself the winner, with his ""Terrorarium"" and makes several inmates go inside of it.    ",Superjail! (TV Series 2007–2014),Terrorarium
7,Mr. Grumpy Pants,tt1031283,tt1321311,1,7,8.5,62,2008-11-09,2008,"
    A little girl dying from cancer winds up at Superjail.    ",Superjail! (TV Series 2007–2014),Mr. Grumpy Pants
8,Dream Machine,tt1031283,tt1329918,1,8,8.7,55,2008-11-23,2008,"
    The Warden, paranoid after a dream, invents a device to monitor the prisoner's dreams to stop them from starting a riot.    ",Superjail! (TV Series 2007–2014),Dream Machine
9,Time Police: Part 1,tt1031283,tt1330476,1,9,8.3,52,2008-11-30,2008,"
    The Warden is arrested for crimes he will commit in the future.    ",Superjail! (TV Series 2007–2014),Time Police: Part 1
10,Time Police: Part 2,tt1031283,tt1321770,1,10,8.6,52,2008-12-07,2008,"
    When the Warden is taken to another dimension by the Time Police, SuperJail is forced to closed.    ",Superjail! (TV Series 2007–2014),Time Police: Part 2
11,Best Friends Forever,tt1031283,tt1859293,2,1,8.0,42,2011-04-03,2011,"
    Jailbot is shot down while escorting Jacknife to Superjail and the two of them must work together to survive terrible creatures. Back at Superjail, Jared and the prisoners are betting on their survival.    ",Superjail! (TV Series 2007–2014),Best Friends Forever
12,Mayhem Donor,tt1031283,tt1884044,2,2,7.8,37,2011-04-10,2011,"
    The Warden tries to make money by selling the prisoner's body parts.    ",Superjail! (TV Series 2007–2014),Mayhem Donor
13,Lord Stingray Crash Party,tt1031283,tt1885034,2,3,7.8,33,2011-04-17,2011,"
    An alien crash-lands and arrives at Superjail.    ",Superjail! (TV Series 2007–2014),Lord Stingray Crash Party
14,Hotchick,tt1031283,tt1892934,2,4,7.7,35,2011-04-24,2011,"
    An alien arrives at Superjail to hunt down the twins.    ",Superjail! (TV Series 2007–2014),Hotchick
15,Gay Wedding,tt1031283,tt1904069,2,5,7.6,36,2011-05-01,2011,"
    Jean and Paul plan a wedding in Superjail.    ",Superjail! (TV Series 2007–2014),Gay Wedding
16,Ghosts,tt1031283,tt1915305,2,6,7.7,32,2011-05-08,2011,"
    Superjail is haunted by ghosts.    ",Superjail! (TV Series 2007–2014),Ghosts
17,Jailbot 2.0,tt1031283,tt1920483,2,7,7.8,31,2011-05-15,2011,"
    A new Jailbot model tries to take over Superjail.    ",Superjail! (TV Series 2007–2014),Jailbot 2.0
18,The Budding of the Wurbuxx,tt1031283,tt1928890,2,8,7.3,33,2011-05-22,2011,"
    You'd have to be on drugs not to love The SuperJail Monthly Movie Matinee. Or at least that's what The Warden thinks, when the inmates don't love his Monthly Movie Matinee. Meanwhile, Alice is the only one who can help the Twins with a ""feminine problem.""    ",Superjail! (TV Series 2007–2014),The Budding of the Wurbuxx
19,Superjail Grand Prix,tt1031283,tt1943474,2,9,8.0,30,2011-06-05,2011,"
    Superjail holds its annual Superjail Grand Prix. The winning team gets to go free, but we all know nothing comes free in Superjail.    ",Superjail! (TV Series 2007–2014),Superjail Grand Prix
20,Vacation,tt1031283,tt1953294,2,10,7.9,29,2011-06-12,2011,"
    The Warden takes the prisoners on a vacation.    ",Superjail! (TV Series 2007–2014),Vacation
21,Stingstress,tt1031283,tt2377294,3,1,8.1,31,2012-09-30,2012,"
    The Mistress returns to take over Superjail.    ",Superjail! (TV Series 2007–2014),Stingstress
22,Superfail,tt1031283,tt2423732,3,2,7.5,29,2012-10-07,2012,"
    Jared, fed up with The Warden belittling him, pushes The Warden off a tall platform and he is injured, leaving Jared to run Superjail his way.    ",Superjail! (TV Series 2007–2014),Superfail
23,Uh-Oh Magic,tt1031283,tt2432122,3,3,7.8,28,2012-10-14,2012,"
    Warden takes up ventriloquism, but his little dummy steals the show.    ",Superjail! (TV Series 2007–2014),Uh-Oh Magic
24,Sticky Discharge,tt1031283,tt2424928,3,4,7.8,23,2012-10-07,2012,"
    Superjail is faced with its first parole... Ever!    ",Superjail! (TV Series 2007–2014),Sticky Discharge
25,Specialneeds,tt1031283,tt2460318,3,5,7.7,23,2012-10-28,2012,"
    The Warden makes Superjail handicap-accessible.    ",Superjail! (TV Series 2007–2014),Specialneeds
26,The Trouble with Triples,tt1031283,tt2474572,3,6,8.1,27,2012-11-04,2012,"
    The Warden makes a virtual reality video game for the prisoners.    ",Superjail! (TV Series 2007–2014),The Trouble with Triples
27,Nightshift,tt1031283,tt2498190,3,7,8.1,24,2012-11-11,2012,"
    Alice discovers a hidden talent for cooking and sets out to find the perfect truffle.    ",Superjail! (TV Series 2007–2014),Nightshift
28,Oedipusmess,tt1031283,tt2500634,3,8,7.8,24,2012-11-18,2012,"
    When an inmate becomes a daddy, Superjail's population explodes.    ",Superjail! (TV Series 2007–2014),Oedipusmess
29,Planet Radio,tt1031283,tt2524744,3,9,8.1,22,2012-12-02,2012,"
    When a pirate radio station hits Superail, the Warden fights back with some programming of his own.    ",Superjail! (TV Series 2007–2014),Planet Radio
30,Burn Stoolie Burn,tt1031283,tt2556482,3,10,8.6,26,2012-12-09,2012,"
    An inmate teaches the Warden about friendship and fire.    ",Superjail! (TV Series 2007–2014),Burn Stoolie Burn
